'Elapsed time','MLII','V5'
'0:11.268',4.760,4.960
'0:11.272',4.755,4.955
'0:11.276',4.740,4.940
'0:11.280',4.740,4.950
'0:11.284',4.755,4.955
'0:11.288',4.755,4.950
'0:11.292',4.745,4.935
'0:11.296',4.755,4.935
'0:11.300',4.750,4.940
'0:11.304',4.745,4.920
'0:11.308',4.705,4.900
'0:11.312',4.660,4.895
'0:11.316',4.660,4.875
'0:11.320',4.640,4.845
'0:11.324',4.550,4.830
'0:11.328',4.490,4.865
'0:11.332',4.535,4.960
'0:11.336',4.635,5.050
'0:11.340',4.740,5.100
'0:11.344',4.835,5.155
'0:11.348',5.000,5.230
'0:11.352',5.285,5.340
'0:11.356',5.635,5.440
'0:11.360',5.860,5.435
'0:11.364',5.910,5.245
'0:11.368',5.610,4.975
'0:11.372',5.095,4.840
'0:11.376',4.715,4.845
'0:11.380',4.595,4.890
'0:11.384',4.630,4.920
'0:11.388',4.690,4.920
'0:11.392',4.705,4.910
'0:11.396',4.695,4.920
'0:11.400',4.700,4.920
'0:11.404',4.735,4.945
'0:11.408',4.730,4.915
'0:11.412',4.720,4.925
'0:11.416',4.725,4.925
'0:11.420',4.730,4.930
'0:11.424',4.725,4.915
'0:11.428',4.705,4.925
'0:11.432',4.710,4.930
'0:11.436',4.710,4.935
'0:11.440',4.705,4.930
'0:11.444',4.705,4.920
'0:11.448',4.715,4.925
'0:11.452',4.735,4.935
'0:11.456',4.720,4.930
'0:11.460',4.710,4.925
'0:11.464',4.710,4.925
'0:11.468',4.720,4.935
'0:11.472',4.730,4.940
'0:11.476',4.715,4.920
'0:11.480',4.715,4.930
'0:11.484',4.715,4.945
'0:11.488',4.715,4.930
'0:11.492',4.700,4.915
'0:11.496',4.695,4.925
'0:11.500',4.705,4.930
'0:11.504',4.705,4.935
'0:11.508',4.710,4.940
'0:11.512',4.705,4.935
'0:11.516',4.720,4.940
'0:11.520',4.725,4.935
'0:11.524',4.720,4.925
'0:11.528',4.695,4.925
'0:11.532',4.715,4.950
'0:11.536',4.720,4.950
'0:11.540',4.730,4.930
'0:11.544',4.730,4.930
'0:11.548',4.735,4.940
'0:11.552',4.740,4.945
'0:11.556',4.730,4.925
'0:11.560',4.705,4.925
'0:11.564',4.715,4.925
'0:11.568',4.720,4.935
'0:11.572',4.725,4.915
'0:11.576',4.715,4.900
'0:11.580',4.710,4.900
'0:11.584',4.720,4.905
'0:11.588',4.720,4.900
'0:11.592',4.705,4.875
'0:11.596',4.695,4.875
'0:11.600',4.700,4.880
'0:11.604',4.715,4.875
'0:11.608',4.695,4.865
'0:11.612',4.670,4.850
'0:11.616',4.670,4.860
'0:11.620',4.670,4.855
'0:11.624',4.665,4.830
'0:11.628',4.665,4.825
'0:11.632',4.665,4.840
'0:11.636',4.670,4.835
'0:11.640',4.660,4.840
'0:11.644',4.655,4.845
'0:11.648',4.680,4.860
'0:11.652',4.705,4.875
'0:11.656',4.725,4.890
'0:11.660',4.725,4.880
'0:11.664',4.740,4.905
'0:11.668',4.770,4.910
'0:11.672',4.780,4.900
'0:11.676',4.775,4.905
'0:11.680',4.790,4.935
'0:11.684',4.800,4.950
'0:11.688',4.795,4.945
'0:11.692',4.800,4.935
'0:11.696',4.790,4.950
'0:11.700',4.795,4.950
'0:11.704',4.820,4.955
'0:11.708',4.820,4.945
'0:11.712',4.810,4.945
'0:11.716',4.815,4.970
'0:11.720',4.830,4.960
'0:11.724',4.820,4.960
'0:11.728',4.825,4.955
'0:11.732',4.840,4.965
'0:11.736',4.850,4.960
'0:11.740',4.835,4.950
'0:11.744',4.820,4.940
'0:11.748',4.815,4.945
'0:11.752',4.815,4.950
'0:11.756',4.835,4.945
'0:11.760',4.810,4.950
'0:11.764',4.820,4.950
'0:11.768',4.810,4.960
'0:11.772',4.815,4.960
'0:11.776',4.825,4.940
'0:11.780',4.830,4.940
'0:11.784',4.840,4.950
'0:11.788',4.825,4.935
'0:11.792',4.800,4.915
'0:11.796',4.790,4.935
'0:11.800',4.800,4.940
'0:11.804',4.815,4.935
'0:11.808',4.805,4.925
'0:11.812',4.795,4.925
'0:11.816',4.800,4.935
'0:11.820',4.805,4.930
'0:11.824',4.800,4.925
'0:11.828',4.785,4.925
'0:11.832',4.795,4.930
'0:11.836',4.800,4.935
'0:11.840',4.790,4.925
'0:11.844',4.775,4.905
'0:11.848',4.780,4.915
'0:11.852',4.785,4.930
'0:11.856',4.785,4.910
'0:11.860',4.760,4.910
'0:11.864',4.780,4.910
'0:11.868',4.785,4.915
'0:11.872',4.790,4.915
'0:11.876',4.775,4.900
'0:11.880',4.775,4.915
'0:11.884',4.785,4.930
'0:11.888',4.790,4.920
'0:11.892',4.780,4.900
'0:11.896',4.770,4.910
'0:11.900',4.780,4.920
'0:11.904',4.790,4.915
'0:11.908',4.780,4.915
'0:11.912',4.765,4.905
'0:11.916',4.780,4.920
'0:11.920',4.795,4.920
'0:11.924',4.785,4.910
'0:11.928',4.765,4.910
'0:11.932',4.775,4.915
'0:11.936',4.785,4.920
'0:11.940',4.785,4.905
'0:11.944',4.790,4.890
'0:11.948',4.805,4.910
'0:11.952',4.815,4.920
'0:11.956',4.830,4.915
'0:11.960',4.830,4.895
'0:11.964',4.845,4.905
'0:11.968',4.860,4.920
'0:11.972',4.870,4.910
'0:11.976',4.875,4.910
'0:11.980',4.885,4.925
'0:11.984',4.905,4.945
'0:11.988',4.910,4.935
'0:11.992',4.900,4.925
'0:11.996',4.890,4.925
'0:12.000',4.895,4.935
'0:12.004',4.895,4.940
'0:12.008',4.880,4.940
'0:12.012',4.880,4.930
'0:12.016',4.900,4.945
'0:12.020',4.900,4.950
'0:12.024',4.890,4.935
'0:12.028',4.875,4.940
'0:12.032',4.895,4.970
'0:12.036',4.905,4.980
'0:12.040',4.910,4.955
'0:12.044',4.905,4.955
'0:12.048',4.870,4.945
'0:12.052',4.865,4.945
'0:12.056',4.845,4.940
'0:12.060',4.815,4.920
'0:12.064',4.775,4.930
'0:12.068',4.785,4.940
'0:12.072',4.775,4.915
'0:12.076',4.760,4.905
'0:12.080',4.760,4.920
'0:12.084',4.765,4.940
'0:12.088',4.775,4.925
'0:12.092',4.755,4.905
'0:12.096',4.750,4.910
'0:12.100',4.755,4.915
'0:12.104',4.770,4.925
'0:12.108',4.765,4.915
'0:12.112',4.745,4.920
'0:12.116',4.760,4.915
'0:12.120',4.780,4.925
'0:12.124',4.770,4.915
'0:12.128',4.765,4.915
'0:12.132',4.760,4.930
'0:12.136',4.765,4.915
'0:12.140',4.730,4.875
'0:12.144',4.685,4.850
'0:12.148',4.650,4.845
'0:12.152',4.635,4.840
'0:12.156',4.580,4.880
'0:12.160',4.585,4.985
'0:12.164',4.720,5.075
'0:12.168',4.880,5.135
'0:12.172',5.085,5.200
'0:12.176',5.395,5.295
'0:12.180',5.720,5.405
'0:12.184',5.910,5.490
'0:12.188',6.010,5.400
'0:12.192',5.905,5.105
'0:12.196',5.445,4.840
'0:12.200',5.275,4.785
'0:12.204',4.660,4.820
'0:12.208',4.580,4.835
'0:12.212',4.630,4.850
'0:12.216',4.715,4.875
'0:12.220',4.725,4.875
'0:12.224',4.720,4.870
'0:12.228',4.710,4.870
'0:12.232',4.735,4.880
'0:12.236',4.740,4.875
'0:12.240',4.735,4.870
'0:12.244',4.730,4.865
'0:12.248',4.735,4.870
'0:12.252',4.745,4.880
'0:12.256',4.745,4.880
'0:12.260',4.720,4.875
'0:12.264',4.740,4.880
'0:12.268',4.745,4.890
'0:12.272',4.750,4.880
'0:12.276',4.735,4.890
'0:12.280',4.740,4.880
'0:12.284',4.750,4.900
'0:12.288',4.750,4.880
'0:12.292',4.735,4.880
'0:12.296',4.730,4.890
'0:12.300',4.740,4.895
'0:12.304',4.735,4.895
'0:12.308',4.740,4.895
'0:12.312',4.735,4.895
'0:12.316',4.745,4.910
'0:12.320',4.760,4.910
'0:12.324',4.760,4.900
'0:12.328',4.740,4.885
'0:12.332',4.760,4.910
'0:12.336',4.755,4.900
'0:12.340',4.760,4.890
'0:12.344',4.750,4.890
'0:12.348',4.750,4.905
'0:12.352',4.775,4.915
'0:12.356',4.770,4.900
'0:12.360',4.765,4.890
'0:12.364',4.770,4.885
'0:12.368',4.765,4.910
'0:12.372',4.775,4.895
'0:12.376',4.755,4.885
'0:12.380',4.755,4.895
'0:12.384',4.765,4.910
'0:12.388',4.760,4.890
'0:12.392',4.750,4.870
'0:12.396',4.750,4.865
'0:12.400',4.755,4.870
'0:12.404',4.765,4.870
'0:12.408',4.755,4.855
'0:12.412',4.745,4.835
'0:12.416',4.760,4.850
'0:12.420',4.760,4.855
'0:12.424',4.750,4.830
'0:12.428',4.730,4.810
'0:12.432',4.740,4.810
'0:12.436',4.750,4.810
'0:12.440',4.735,4.795
'0:12.444',4.715,4.780
'0:12.448',4.715,4.795
'0:12.452',4.720,4.800
'0:12.456',4.725,4.785
'0:12.460',4.705,4.775
'0:12.464',4.700,4.795
'0:12.468',4.720,4.810
'0:12.472',4.735,4.810
'0:12.476',4.740,4.810
'0:12.480',4.750,4.835
'0:12.484',4.775,4.865
'0:12.488',4.795,4.870
'0:12.492',4.805,4.855
'0:12.496',4.815,4.885
'0:12.500',4.825,4.890
'0:12.504',4.855,4.910
'0:12.508',4.855,4.905
'0:12.512',4.855,4.905
'0:12.516',4.880,4.945
'0:12.520',4.885,4.940
'0:12.524',4.875,4.935
'0:12.528',4.870,4.925
'0:12.532',4.880,4.935
'0:12.536',4.890,4.945
'0:12.540',4.875,4.935
'0:12.544',4.870,4.925
'0:12.548',4.875,4.935
'0:12.552',4.890,4.955
'0:12.556',4.905,4.940
'0:12.560',4.880,4.935
'0:12.564',4.890,4.925
'0:12.568',4.895,4.945
'0:12.572',4.900,4.935
'0:12.576',4.900,4.930
'0:12.580',4.880,4.935
'0:12.584',4.905,4.955
'0:12.588',4.895,4.935
'0:12.592',4.900,4.930
'0:12.596',4.880,4.930
'0:12.600',4.885,4.930
'0:12.604',4.885,4.940
'0:12.608',4.880,4.935
'0:12.612',4.865,4.920
'0:12.616',4.870,4.930
'0:12.620',4.890,4.935
'0:12.624',4.880,4.930
'0:12.628',4.870,4.925
'0:12.632',4.875,4.925
'0:12.636',4.885,4.930
'0:12.640',4.880,4.920
'0:12.644',4.875,4.905
'0:12.648',4.875,4.930
'0:12.652',4.890,4.930
'0:12.656',4.885,4.925
'0:12.660',4.880,4.910
'0:12.664',4.875,4.915
'0:12.668',4.885,4.925
'0:12.672',4.890,4.920
'0:12.676',4.865,4.910
'0:12.680',4.855,4.920
'0:12.684',4.875,4.940
'0:12.688',4.875,4.920
'0:12.692',4.860,4.910
'0:12.696',4.870,4.905
'0:12.700',4.880,4.915
'0:12.704',4.885,4.925
'0:12.708',4.880,4.920
'0:12.712',4.875,4.915
'0:12.716',4.885,4.920
'0:12.720',4.895,4.925
'0:12.724',4.895,4.910
'0:12.728',4.895,4.900
'0:12.732',4.925,4.915
'0:12.736',4.935,4.920
'0:12.740',4.935,4.910
'0:12.744',4.930,4.910
'0:12.748',4.950,4.930
'0:12.752',4.970,4.930
'0:12.756',4.955,4.925
'0:12.760',4.970,4.925
'0:12.764',4.990,4.940
'0:12.768',5.005,4.945
'0:12.772',5.005,4.950
'0:12.776',5.000,4.935
'0:12.780',4.990,4.955
'0:12.784',4.990,4.975
'0:12.788',4.985,4.965
'0:12.792',4.980,4.955
'0:12.796',4.985,4.975
'0:12.800',4.990,4.985
'0:12.804',5.000,4.990
'0:12.808',5.025,4.965
'0:12.812',5.000,4.945
'0:12.816',4.950,4.960
'0:12.820',4.945,4.960
'0:12.824',4.935,4.945
'0:12.828',4.910,4.935
'0:12.832',4.890,4.940
'0:12.836',4.880,4.945
'0:12.840',4.865,4.925
'0:12.844',4.850,4.920
'0:12.848',4.850,4.935
'0:12.852',4.855,4.940
'0:12.856',4.855,4.925
'0:12.860',4.835,4.910
'0:12.864',4.845,4.925
'0:12.868',4.845,4.935
'0:12.872',4.835,4.925
'0:12.876',4.835,4.920
'0:12.880',4.840,4.915
'0:12.884',4.845,4.930
'0:12.888',4.850,4.920
'0:12.892',4.855,4.920
'0:12.896',4.830,4.920
'0:12.900',4.840,4.930
'0:12.904',4.850,4.915
'0:12.908',4.835,4.875
'0:12.912',4.800,4.855
'0:12.916',4.750,4.850
'0:12.920',4.730,4.825
'0:12.924',4.685,4.835
'0:12.928',4.615,4.935
'0:12.932',4.690,5.070
'0:12.936',4.855,5.180
'0:12.940',5.045,5.285
'0:12.944',5.320,5.420
'0:12.948',5.740,5.560
'0:12.952',6.015,5.620
'0:12.956',6.095,5.465
'0:12.960',5.865,5.130
'0:12.964',5.395,4.835
'0:12.968',4.985,4.735
'0:12.972',4.745,4.705
'0:12.976',4.610,4.740
'0:12.980',4.550,4.795
'0:12.984',4.575,4.835
'0:12.988',4.655,4.850
'0:12.992',4.730,4.860
'0:12.996',4.755,4.860
'0:13.000',4.765,4.865
'0:13.004',4.765,4.885
'0:13.008',4.770,4.860
'0:13.012',4.765,4.865
'0:13.016',4.765,4.870
'0:13.020',4.780,4.875
'0:13.024',4.770,4.870
'0:13.028',4.750,4.870
'0:13.032',4.765,4.885
'0:13.036',4.775,4.880
'0:13.040',4.780,4.865
'0:13.044',4.765,4.870
'0:13.048',4.765,4.885
'0:13.052',4.785,4.895
'0:13.056',4.785,4.865
'0:13.060',4.770,4.870
'0:13.064',4.765,4.875
'0:13.068',4.775,4.890
'0:13.072',4.780,4.885
'0:13.076',4.770,4.870
'0:13.080',4.765,4.870
'0:13.084',4.765,4.880
'0:13.088',4.770,4.880
'0:13.092',4.770,4.875
'0:13.096',4.765,4.875
'0:13.100',4.770,4.880
'0:13.104',4.785,4.865
'0:13.108',4.775,4.865
'0:13.112',4.775,4.870
'0:13.116',4.775,4.875
'0:13.120',4.790,4.875
'0:13.124',4.785,4.865
'0:13.128',4.770,4.860
'0:13.132',4.770,4.875
'0:13.136',4.775,4.880
'0:13.140',4.775,4.865
'0:13.144',4.760,4.845
'0:13.148',4.770,4.845
'0:13.152',4.775,4.855
'0:13.156',4.780,4.855
'0:13.160',4.785,4.835
'0:13.164',4.785,4.850
'0:13.168',4.785,4.840
'0:13.172',4.785,4.835
'0:13.176',4.795,4.825
'0:13.180',4.795,4.815
'0:13.184',4.805,4.825
'0:13.188',4.800,4.820
'0:13.192',4.795,4.800
'0:13.196',4.785,4.800
'0:13.200',4.790,4.810
'0:13.204',4.800,4.800
'0:13.208',4.790,4.790
'0:13.212',4.785,4.790
'0:13.216',4.785,4.800
'0:13.220',4.795,4.790
'0:13.224',4.780,4.780
'0:13.228',4.775,4.780
'0:13.232',4.780,4.800
'0:13.236',4.790,4.810
'0:13.240',4.790,4.795
'0:13.244',4.775,4.800
'0:13.248',4.780,4.825
'0:13.252',4.805,4.850
'0:13.256',4.805,4.850
'0:13.260',4.820,4.855
'0:13.264',4.830,4.885
'0:13.268',4.850,4.895
'0:13.272',4.865,4.895
'0:13.276',4.850,4.905
'0:13.280',4.855,4.905
'0:13.284',4.875,4.930
'0:13.288',4.875,4.910
'0:13.292',4.875,4.900
'0:13.296',4.875,4.905
'0:13.300',4.880,4.905
'0:13.304',4.890,4.915
'0:13.308',4.885,4.920
'0:13.312',4.875,4.905
'0:13.316',4.880,4.920
'0:13.320',4.895,4.915
'0:13.324',4.885,4.910
'0:13.328',4.870,4.905
'0:13.332',4.875,4.920
'0:13.336',4.885,4.920
'0:13.340',4.885,4.920
'0:13.344',4.880,4.910
'0:13.348',4.860,4.925
'0:13.352',4.880,4.930
'0:13.356',4.865,4.915
'0:13.360',4.845,4.910
'0:13.364',4.855,4.920
'0:13.368',4.865,4.935
'0:13.372',4.875,4.920
'0:13.376',4.860,4.905
'0:13.380',4.845,4.905
'0:13.384',4.845,4.915
'0:13.388',4.855,4.900
'0:13.392',4.850,4.895
'0:13.396',4.845,4.895
'0:13.400',4.845,4.900
'0:13.404',4.865,4.910
'0:13.408',4.850,4.900
'0:13.412',4.830,4.885
'0:13.416',4.830,4.895
'0:13.420',4.820,4.890
'0:13.424',4.825,4.890
'0:13.428',4.810,4.895
'0:13.432',4.820,4.890
'0:13.436',4.820,4.895
'0:13.440',4.805,4.895
'0:13.444',4.795,4.880
'0:13.448',4.800,4.890
'0:13.452',4.820,4.890
'0:13.456',4.820,4.880
'0:13.460',4.815,4.870
'0:13.464',4.810,4.880
'0:13.468',4.815,4.900
'0:13.472',4.820,4.880
'0:13.476',4.805,4.875
'0:13.480',4.790,4.865
'0:13.484',4.830,4.895
'0:13.488',4.855,4.875
'0:13.492',4.845,4.860
'0:13.496',4.850,4.850
'0:13.500',4.850,4.855
'0:13.504',4.850,4.875
'0:13.508',4.860,4.885
'0:13.512',4.875,4.885
'0:13.516',4.920,4.915
'0:13.520',4.935,4.920
'0:13.524',4.920,4.910
'0:13.528',4.905,4.910
'0:13.532',4.925,4.915
'0:13.536',4.930,4.920
'0:13.540',4.920,4.930
'0:13.544',4.910,4.925
'0:13.548',4.915,4.940
'0:13.552',4.925,4.965
'0:13.556',4.940,4.940
'0:13.560',4.935,4.910
'0:13.564',4.900,4.915
'0:13.568',4.875,4.935
'0:13.572',4.860,4.935
'0:13.576',4.840,4.905
'0:13.580',4.820,4.915
'0:13.584',4.815,4.920
'0:13.588',4.815,4.920
'0:13.592',4.805,4.920
'0:13.596',4.805,4.915
'0:13.600',4.810,4.910
'0:13.604',4.805,4.920
'0:13.608',4.795,4.905
'0:13.612',4.780,4.895
'0:13.616',4.785,4.910
'0:13.620',4.800,4.920
'0:13.624',4.785,4.910
'0:13.628',4.775,4.895
'0:13.632',4.785,4.910
'0:13.636',4.790,4.920
'0:13.640',4.770,4.915
'0:13.644',4.755,4.905
'0:13.648',4.775,4.915
'0:13.652',4.790,4.905
'0:13.656',4.770,4.880
'0:13.660',4.705,4.845
'0:13.664',4.655,4.825
'0:13.668',4.650,4.835
'0:13.672',4.600,4.890
'0:13.676',4.640,5.010
'0:13.680',4.785,5.140
'0:13.684',4.995,5.230
'0:13.688',5.280,5.320
'0:13.692',5.650,5.425
'0:13.696',5.945,5.480
'0:13.700',6.020,5.470
'0:13.704',5.770,4.945
'0:13.708',5.180,4.785
'0:13.712',4.735,4.825
'0:13.716',4.610,4.865
'0:13.720',4.640,4.890
'0:13.724',4.695,4.890
'0:13.728',4.705,4.900
'0:13.732',4.720,4.905
'0:13.736',4.735,4.910
'0:13.740',4.740,4.910
'0:13.744',4.735,4.900
'0:13.748',4.735,4.910
'0:13.752',4.745,4.925
'0:13.756',4.745,4.915
'0:13.760',4.735,4.895
'0:13.764',4.720,4.905
'0:13.768',4.735,4.940
'0:13.772',4.745,4.950
'0:13.776',4.740,4.940
'0:13.780',4.740,4.935
'0:13.784',4.740,4.940
'0:13.788',4.720,4.930
'0:13.792',4.725,4.910
'0:13.796',4.715,4.915
'0:13.800',4.725,4.920
'0:13.804',4.720,4.935
'0:13.808',4.710,4.910
'0:13.812',4.695,4.910
'0:13.816',4.715,4.940
'0:13.820',4.720,4.940
'0:13.824',4.715,4.925
'0:13.828',4.705,4.910
'0:13.832',4.700,4.920
'0:13.836',4.705,4.920
'0:13.840',4.715,4.910
'0:13.844',4.690,4.900
'0:13.848',4.695,4.905
'0:13.852',4.700,4.920
'0:13.856',4.700,4.920
'0:13.860',4.690,4.905
'0:13.864',4.685,4.920
'0:13.868',4.710,4.920
'0:13.872',4.710,4.920
'0:13.876',4.695,4.885
'0:13.880',4.690,4.905
'0:13.884',4.720,4.915
'0:13.888',4.730,4.910
'0:13.892',4.720,4.905
'0:13.896',4.700,4.905
'0:13.900',4.705,4.910
'0:13.904',4.720,4.900
'0:13.908',4.695,4.880
'0:13.912',4.685,4.885
'0:13.916',4.710,4.895
'0:13.920',4.720,4.890
'0:13.924',4.720,4.865
'0:13.928',4.705,4.850
'0:13.932',4.695,4.855
'0:13.936',4.690,4.855
'0:13.940',4.670,4.850
'0:13.944',4.650,4.830
'0:13.948',4.645,4.825
'0:13.952',4.655,4.830
'0:13.956',4.660,4.825
'0:13.960',4.640,4.820
'0:13.964',4.645,4.825
'0:13.968',4.660,4.840
'0:13.972',4.675,4.835
'0:13.976',4.670,4.840
'0:13.980',4.665,4.845
'0:13.984',4.675,4.875
'0:13.988',4.715,4.890
'0:13.992',4.745,4.895
'0:13.996',4.750,4.910
'0:14.000',4.755,4.915
'0:14.004',4.780,4.940
'0:14.008',4.785,4.940
'0:14.012',4.785,4.945
'0:14.016',4.805,4.975
'0:14.020',4.830,4.985
'0:14.024',4.840,4.990
'0:14.028',4.835,4.980
'0:14.032',4.840,4.990
'0:14.036',4.845,4.995
'0:14.040',4.855,4.985
'0:14.044',4.835,4.980
'0:14.048',4.850,4.990
'0:14.052',4.865,4.995
'0:14.056',4.855,4.985
'0:14.060',4.855,4.975
'0:14.064',4.855,4.975
'0:14.068',4.855,4.990
'0:14.072',4.865,4.995
'0:14.076',4.850,4.970
'0:14.080',4.830,4.975
'0:14.084',4.840,4.980
'0:14.088',4.845,4.980
'0:14.092',4.845,4.960
'0:14.096',4.835,4.965
'0:14.100',4.845,4.970
'0:14.104',4.850,4.970
'0:14.108',4.840,4.960
'0:14.112',4.815,4.960
'0:14.116',4.830,4.970
'0:14.120',4.840,4.970
'0:14.124',4.840,4.945
'0:14.128',4.820,4.950
'0:14.132',4.820,4.950
'0:14.136',4.815,4.955
'0:14.140',4.820,4.955
'0:14.144',4.815,4.940
'0:14.148',4.815,4.940
'0:14.152',4.820,4.950
'0:14.156',4.815,4.935
'0:14.160',4.805,4.930
'0:14.164',4.795,4.940
'0:14.168',4.800,4.950
'0:14.172',4.820,4.945
'0:14.176',4.810,4.925
'0:14.180',4.800,4.935
'0:14.184',4.810,4.940
'0:14.188',4.815,4.945
'0:14.192',4.810,4.930
'0:14.196',4.810,4.930
'0:14.200',4.810,4.940
'0:14.204',4.840,4.950
'0:14.208',4.835,4.940
'0:14.212',4.830,4.930
'0:14.216',4.860,4.945
'0:14.220',4.870,4.945
'0:14.224',4.870,4.935
'0:14.228',4.875,4.925
'0:14.232',4.890,4.925
'0:14.236',4.900,4.930
'0:14.240',4.910,4.920
'0:14.244',4.905,4.920
'0:14.248',4.915,4.930
'0:14.252',4.945,4.945
'0:14.256',4.960,4.945
'0:14.260',4.940,4.930
'0:14.264',4.940,4.930
'0:14.268',4.940,4.940
'0:14.272',4.945,4.935
'0:14.276',4.920,4.940
'0:14.280',4.940,4.945
'0:14.284',4.950,4.945
'0:14.288',4.960,4.960
'0:14.292',4.945,4.960
'0:14.296',4.950,4.960
'0:14.300',4.960,4.970
'0:14.304',4.975,4.950
'0:14.308',4.910,4.930
'0:14.312',4.870,4.925
'0:14.316',4.865,4.935
'0:14.320',4.855,4.930
'0:14.324',4.825,4.915
'0:14.328',4.795,4.910
'0:14.332',4.830,4.920
'0:14.336',4.840,4.930
'0:14.340',4.840,4.920
'0:14.344',4.820,4.910
'0:14.348',4.815,4.920
'0:14.352',4.820,4.920
'0:14.356',4.820,4.915
'0:14.360',4.810,4.905
'0:14.364',4.800,4.910
'0:14.368',4.805,4.920
'0:14.372',4.815,4.915
'0:14.376',4.820,4.905
'0:14.380',4.815,4.905
'0:14.384',4.820,4.895
'0:14.388',4.785,4.855
'0:14.392',4.725,4.820
'0:14.396',4.685,4.810
'0:14.400',4.680,4.820
'0:14.404',4.650,4.985
'0:14.408',4.760,5.125
'0:14.412',4.975,5.230
'0:14.416',5.255,5.355
'0:14.420',5.615,5.485
'0:14.424',5.960,5.540
'0:14.428',6.105,5.410
'0:14.432',5.900,5.020
'0:14.436',5.325,4.760
'0:14.440',4.780,4.780
'0:14.444',4.605,4.820
'0:14.448',4.675,4.855
'0:14.452',4.755,4.870
'0:14.456',4.780,4.880
'0:14.460',4.770,4.855
'0:14.464',4.765,4.850
'0:14.468',4.770,4.860
'0:14.472',4.765,4.865
'0:14.476',4.765,4.855
'0:14.480',4.755,4.850
'0:14.484',4.760,4.860
'0:14.488',4.770,4.865
'0:14.492',4.745,4.840
'0:14.496',4.745,4.850
'0:14.500',4.750,4.855
'0:14.504',4.770,4.855
'0:14.508',4.755,4.850
'0:14.512',4.735,4.850
'0:14.516',4.750,4.870
'0:14.520',4.755,4.860
'0:14.524',4.765,4.855
'0:14.528',4.745,4.855
'0:14.532',4.740,4.865
'0:14.536',4.755,4.875
'0:14.540',4.765,4.855
'0:14.544',4.740,4.850
'0:14.548',4.740,4.860
'0:14.552',4.755,4.865
'0:14.556',4.765,4.865
'0:14.560',4.755,4.855
'0:14.564',4.755,4.860
'0:14.568',4.765,4.870
'0:14.572',4.765,4.855
'0:14.576',4.740,4.850
'0:14.580',4.735,4.845
'0:14.584',4.750,4.865
'0:14.588',4.765,4.855
'0:14.592',4.755,4.845
'0:14.596',4.750,4.850
'0:14.600',4.755,4.850
'0:14.604',4.775,4.860
'0:14.608',4.775,4.850
'0:14.612',4.755,4.845
'0:14.616',4.775,4.850
'0:14.620',4.790,4.840
'0:14.624',4.775,4.825
'0:14.628',4.750,4.815
'0:14.632',4.750,4.825
'0:14.636',4.770,4.825
'0:14.640',4.755,4.810
'0:14.644',4.760,4.795
'0:14.648',4.750,4.795
'0:14.652',4.750,4.805
'0:14.656',4.740,4.795
'0:14.660',4.730,4.765
'0:14.664',4.720,4.765
'0:14.668',4.740,4.765
'0:14.672',4.735,4.755
'0:14.676',4.725,4.740
'0:14.680',4.720,4.745
'0:14.684',4.740,4.760
'0:14.688',4.735,4.745
'0:14.692',4.735,4.745
'0:14.696',4.730,4.750
'0:14.700',4.730,4.760
'0:14.704',4.765,4.785
'0:14.708',4.770,4.790
'0:14.712',4.770,4.805
'0:14.716',4.800,4.840
'0:14.720',4.835,4.855
'0:14.724',4.840,4.870
'0:14.728',4.845,4.880
'0:14.732',4.865,4.895
'0:14.736',4.890,4.905
'0:14.740',4.895,4.920
'0:14.744',4.895,4.910
'0:14.748',4.910,4.925
'0:14.752',4.920,4.940
'0:14.756',4.925,4.940
'0:14.760',4.910,4.925
'0:14.764',4.915,4.930
'0:14.768',4.925,4.945
'0:14.772',4.935,4.945
'0:14.776',4.920,4.930
'0:14.780',4.915,4.930
'0:14.784',4.930,4.950
'0:14.788',4.935,4.940
'0:14.792',4.930,4.930
'0:14.796',4.920,4.940
'0:14.800',4.920,4.945
'0:14.804',4.925,4.945
'0:14.808',4.930,4.935
'0:14.812',4.915,4.920
'0:14.816',4.910,4.945
'0:14.820',4.920,4.950
'0:14.824',4.920,4.935
'0:14.828',4.910,4.925
'0:14.832',4.915,4.940
'0:14.836',4.920,4.950
'0:14.840',4.920,4.935
'0:14.844',4.910,4.925
'0:14.848',4.910,4.930
'0:14.852',4.920,4.930
'0:14.856',4.915,4.935
'0:14.860',4.895,4.925
'0:14.864',4.895,4.915
'0:14.868',4.900,4.930
'0:14.872',4.905,4.915
'0:14.876',4.895,4.910
'0:14.880',4.885,4.915
'0:14.884',4.890,4.925
'0:14.888',4.900,4.915
'0:14.892',4.885,4.905
'0:14.896',4.875,4.905
'0:14.900',4.875,4.910
'0:14.904',4.900,4.925
'0:14.908',4.900,4.920
'0:14.912',4.890,4.895
'0:14.916',4.885,4.905
'0:14.920',4.900,4.915
'0:14.924',4.910,4.905
'0:14.928',4.905,4.890
'0:14.932',4.910,4.910
'0:14.936',4.930,4.920
'0:14.940',4.945,4.905
'0:14.944',4.945,4.895
'0:14.948',4.955,4.910
'0:14.952',4.965,4.925
'0:14.956',4.985,4.915
'0:14.960',4.985,4.920
'0:14.964',4.990,4.935
'0:14.968',5.005,4.950
'0:14.972',5.010,4.950
'0:14.976',4.980,4.945
'0:14.980',4.965,4.950
'0:14.984',4.995,4.975
'0:14.988',5.005,4.980
'0:14.992',5.010,4.980
